medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Bronze Medal,3,YAN Langyu,China,CHN,China,Trampoline Gymnastics,Men,1999-08-31,1918789
Gold Medal,1,PAGE Bryony,Great Britain,GBR,Great Britain,Trampoline Gymnastics,Women,1990-12-10,1904745
Silver Medal,2,BARDZILOUSKAYA Viyaleta,AIN,AIN,Belarus,Trampoline Gymnastics,Women,2005-06-07,1938437
Bronze Medal,3,METHOT Sophiane,Canada,CAN,Canada,Trampoline Gymnastics,Women,1998-08-03,1973102
Gold Medal,1,LIM Sihyeon,Korea,KOR,Korea,Archery,Women's Individual,2003-06-13,1902147
Silver Medal,2,NAM Suhyeon,Korea,KOR,Korea,Archery,Women's Individual,2005-01-27,1902148
Bronze Medal,3,BARBELIN Lisa,France,FRA,France,Archery,Women's Individual,2000-04-10,1541265
Gold Medal,1,YULO Carlos Edriel,Philippines,PHI,Philippines,Artistic Gymnastics,Men's Floor Exercise,2000-02-16,1975874
Silver Medal,2,DOLGOPYAT Artem,Israel,ISR,Israel,Artistic Gymnastics,Men's Floor Exercise,1997-06-16,1908195
Bronze Medal,3,JARMAN Jake,Great Britain,GBR,Great Britain,Artistic Gymnastics,Men's Floor Exercise,2001-12-03,1904741
Gold Medal,1,Mc CLENAGHAN Rhys,Ireland,IRL,Ireland,Artistic Gymnastics,Men's Pommel Horse,1999-07-21,1539986
Silver Medal,2,KURBANOV Nariman,Kazakhstan,KAZ,Kazakhstan,Artistic Gymnastics,Men's Pommel Horse,1997-12-06,1931577
Bronze Medal,3,NEDOROSCIK Stephen,United States,USA,United States,Artistic Gymnastics,Men's Pommel Horse,1998-10-28,1959865
Gold Medal,1,BILES Simone,United States,USA,United States,Artistic Gymnastics,Women's Vault,1997-03-14,1959861
Silver Medal,2,ANDRADE Rebeca,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Vault,1999-05-08,1953634
Bronze Medal,3,CAREY Jade,United States,USA,United States,Artistic Gymnastics,Women's Vault,2000-05-27,1959819
Gold Medal,1,ROOTH Markus,Norway,NOR,Norway,Athletics,Men's Decathlon,2001-12-22,1878353
Silver Medal,2,NEUGEBAUER Leo,Germany,GER,Germany,Athletics,Men's Decathlon,2000-06-19,1920180
Bronze Medal,3,VICTOR Lindon,Grenada,GRN,Grenada,Athletics,Men's Decathlon,1993-02-28,1573388
Gold Medal,1,CROUSER Ryan,United States,USA,United States,Athletics,Men's Shot Put,1992-12-18,1960688
Silver Medal,2,KOVACS Joe,United States,USA,United States,Athletics,Men's Shot Put,1989-06-28,1965246
Bronze Medal,3,CAMPBELL Rajindra,Jamaica,JAM,Jamaica,Athletics,Men's Shot Put,1996-02-29,1564189
Gold Medal,1,ALFRED Julien,Saint Lucia,LCA,Saint Lucia,Athletics,Women's 100m,2001-06-10,1537325
Silver Medal,2,RICHARDSON Sha'carri,United States,USA,United States,Athletics,Women's 100m,2000-03-25,1960181
Bronze Medal,3,JEFFERSON Melissa,United States,USA,United States,Athletics,Women's 100m,2001-02-21,1961011
Gold Medal,1,LAFOND Thea,Dominica,DMA,Dominica,Athletics,Women's Triple Jump,1994-04-05,1908333
Silver Medal,2,RICKETTS Shanieka,Jamaica,JAM,Jamaica,Athletics,Women's Triple Jump,1992-02-02,1536885
Bronze Medal,3,MOORE Jasmine,United States,USA,United States,Athletics,Women's Triple Jump,2001-05-01,1965250
Bronze Medal,3,WU Shih Yi,Chinese Taipei,TPE,Chinese Taipei,Boxing,Women's 60kg,1998-04-27,1887970
Bronze Medal,3,SOARES FERREIRA Beatriz Iasmin,Brazil,BRA,Brazil,Boxing,Women's 60kg,1992-12-09,1952540
Gold Medal,1,EVENEPOEL Remco,Belgium,BEL,Belgium,Cycling Road,Men's Road Race,2000-01-25,1903136
Silver Medal,2,MADOUAS Valentin,France,FRA,France,Cycling Road,Men's Road Race,1996-07-12,1895699
Bronze Medal,3,LAPORTE Christophe,France,FRA,France,Cycling Road,Men's Road Race,1992-12-11,1895694
Gold Medal,1,ZEIDLER Oliver,Germany,GER,Germany,Rowing,Men's Single Sculls,1996-07-24,1906515
Silver Medal,2,ZALATY Yauheni,AIN,AIN,Belarus,Rowing,Men's Single Sculls,1999-09-09,1538160
Bronze Medal,3,van DORP Simon,Netherlands,NED,Netherlands,Rowing,Men's Single Sculls,1997-04-10,1965599
Gold Medal,1,FLORIJN Karolien,Netherlands,NED,Netherlands,Rowing,Women's Single Sculls,1998-04-06,1965558
Silver Medal,2,TWIGG Emma,New Zealand,NZL,New Zealand,Rowing,Women's Single Sculls,1987-03-01,1927027
Bronze Medal,3,SENKUTE Viktorija,Lithuania,LTU,Lithuania,Rowing,Women's Single Sculls,1996-04-12,1941956
Gold Medal,1,REUVENY Tom,Israel,ISR,Israel,Sailing,Men's Windsurfing,2000-06-12,1927680
Silver Medal,2,MORRIS Grae,Australia,AUS,Australia,Sailing,Men's Windsurfing,2003-10-16,1945982
Bronze Medal,3,van OPZEELAND Luuc,Netherlands,NED,Netherlands,Sailing,Men's Windsurfing,1999-05-21,1970505
Gold Medal,1,MAGGETTI Marta,Italy,ITA,Italy,Sailing,Women's Windsurfing,1996-01-10,1899653
Silver Medal,2,KANTOR Sharon,Israel,ISR,Israel,Sailing,Women's Windsurfing,2003-01-28,1927733
Bronze Medal,3,WILSON Emma,Great Britain,GBR,Great Britain,Sailing,Women's Windsurfing,1999-04-07,1899748
Gold Medal,1,YANG Jiin,Korea,KOR,Korea,Shooting,25m Pistol Women,2003-05-20,1893995
Silver Medal,2,JEDRZEJEWSKI Camille,France,FRA,France,Shooting,25m Pistol Women,2002-04-25,1888429
Bronze Medal,3,MAJOR Veronika,Hungary,HUN,Hungary,Shooting,25m Pistol Women,1997-03-19,1899493
Gold Medal,1,HANCOCK Vincent,United States,USA,United States,Shooting,Skeet Men,1989-03-19,1944354
Silver Medal,2,PRINCE Conner Lynn,United States,USA,United States,Shooting,Skeet Men,2000-03-28,1944385
Bronze Medal,3,LEE Meng Yuan,Chinese Taipei,TPE,Chinese Taipei,Shooting,Skeet Men,1994-08-25,1569852
Gold Medal,1,MILAK Kristof,Hungary,HUN,Hungary,Swimming,Men's 100m Butterfly,2000-02-20,1905860
Silver Medal,2,LIENDO Josh,Canada,CAN,Canada,Swimming,Men's 100m Butterfly,2002-08-20,1967069
Bronze Medal,3,KHARUN Ilya,Canada,CAN,Canada,Swimming,Men's 100m Butterfly,2005-02-07,1967058
Gold Medal,1,McINTOSH Summer,Canada,CAN,Canada,Swimming,Women's 200m Individual Medley,2006-08-18,1967140
Silver Medal,2,DOUGLASS Kate,United States,USA,United States,Swimming,Women's 200m Individual Medley,2001-11-17,1935895
Bronze Medal,3,McKEOWN Kaylee,Australia,AUS,Australia,Swimming,Women's 200m Individual Medley,2001-07-12,1946198
Gold Medal,1,LEDECKY Katie,United States,USA,United States,Swimming,Women's 800m Freestyle,1997-03-17,1935938
Silver Medal,2,TITMUS Ariarne,Australia,AUS,Australia,Swimming,Women's 800m Freestyle,2000-09-07,1946150
Bronze Medal,3,MADDEN Paige,United States,USA,United States,Swimming,Women's 800m Freestyle,1998-10-22,1935943
Gold Medal,1,CHEN Meng,China,CHN,China,Table Tennis,Women's Singles,1994-01-15,1902307
Silver Medal,2,SUN Yingsha,China,CHN,China,Table Tennis,Women's Singles,2000-11-04,1902313
Bronze Medal,3,HAYATA Hina,Japan,JPN,Japan,Table Tennis,Women's Singles,2000-07-07,1931100
Bronze Medal,3,MUSETTI Lorenzo,Italy,ITA,Italy,Tennis,Men's Singles,2002-03-03,1562400
Gold Medal,1,ZHENG Qinwen,China,CHN,China,Tennis,Women's Singles,2002-10-08,1927709
Silver Medal,2,VEKIC Donna,Croatia,CRO,Croatia,Tennis,Women's Singles,1996-06-28,1554972
Gold Medal,1,KIM Woojin,Korea,KOR,Korea,Archery,Men's Individual,1992-06-20,1902135
Silver Medal,2,ELLISON Brady,United States,USA,United States,Archery,Men's Individual,1988-10-27,1955595
Bronze Medal,3,LEE Wooseok,Korea,KOR,Korea,Archery,Men's Individual,1997-08-07,1902144
Gold Medal,1,LIU Yang,China,CHN,China,Artistic Gymnastics,Men's Rings,1994-08-11,1918856
Silver Medal,2,ZOU Jingyuan,China,CHN,China,Artistic Gymnastics,Men's Rings,1998-01-03,1918865
Bronze Medal,3,PETROUNIAS Eleftherios,Greece,GRE,Greece,Artistic Gymnastics,Men's Rings,1990-11-30,1961314
Gold Medal,1,YULO Carlos Edriel,Philippines,PHI,Philippines,Artistic Gymnastics,Men's Vault,2000-02-16,1975874
Silver Medal,2,DAVTYAN Artur,Armenia,ARM,Armenia,Artistic Gymnastics,Men's Vault,1992-08-08,1915828
Bronze Medal,3,HEPWORTH Harry,Great Britain,GBR,Great Britain,Artistic Gymnastics,Men's Vault,2003-12-06,1904740
Gold Medal,1,NEMOUR Kaylia,Algeria,ALG,Algeria,Artistic Gymnastics,Women's Uneven Bars,2006-12-30,1545688
Silver Medal,2,QIU Qiyuan,China,CHN,China,Artistic Gymnastics,Women's Uneven Bars,2007-05-24,1918872
Bronze Medal,3,LEE Sunisa,United States,USA,United States,Artistic Gymnastics,Women's Uneven Bars,2003-03-09,1959866
Gold Medal,1,LYLES Noah,United States,USA,United States,Athletics,Men's 100m,1997-07-18,1960173
Silver Medal,2,THOMPSON Kishane,Jamaica,JAM,Jamaica,Athletics,Men's 100m,2001-07-17,1980161
Bronze Medal,3,KERLEY Fred,United States,USA,United States,Athletics,Men's 100m,1995-05-07,1960958
Gold Medal,1,KATZBERG Ethan,Canada,CAN,Canada,Athletics,Men's Hammer Throw,2002-04-05,1974151
Silver Medal,2,HALASZ Bence,Hungary,HUN,Hungary,Athletics,Men's Hammer Throw,1997-08-04,1916814
Bronze Medal,3,KOKHAN Mykhaylo,Ukraine,UKR,Ukraine,Athletics,Men's Hammer Throw,2001-01-22,1571563
Gold Medal,1,MAHUCHIKH Yaroslava,Ukraine,UKR,Ukraine,Athletics,Women's High Jump,2001-09-19,1571559
Silver Medal,2,OLYSLAGERS Nicola,Australia,AUS,Australia,Athletics,Women's High Jump,1996-12-28,1939838
Bronze Medal,3,GERASHCHENKO Iryna,Ukraine,UKR,Ukraine,Athletics,Women's High Jump,1995-03-10,1571577
Bronze Medal,3,PATTERSON Eleanor,Australia,AUS,Australia,Athletics,Women's High Jump,1996-05-22,1939763
Bronze Medal,3,ALCANTARA REYES Yunior,Dominican Republic,DOM,Dominican Republic,Boxing,Men's 51kg,2004-02-10,1908817
Bronze Medal,3,de PINA David,Cabo Verde,CPV,Cabo Verde,Boxing,Men's 51kg,1996-08-07,1892464
Bronze Medal,3,SANFORD Wyatt,Canada,CAN,Canada,Boxing,Men's 63.5kg,1998-11-03,1972293
Bronze Medal,3,GURULI Lasha,Georgia,GEO,Georgia,Boxing,Men's 63.5kg,1996-08-27,1550184
Bronze Medal,3,PINALES Cristian Javier,Dominican Republic,DOM,Dominican Republic,Boxing,Men's 80kg,2000-11-02,1943368
Bronze Medal,3,LOPEZ CARDONA Arlen,Cuba,CUB,Cuba,Boxing,Men's 80kg,1993-02-21,1555548
Bronze Medal,3,REYES PLA Enmanuel,Spain,ESP,Spain,Boxing,Men's 92kg,1992-12-14,1934790
Bronze Medal,3,BOLTAEV Davlat,Tajikistan,TJK,Tajikistan,Boxing,Men's 92kg,1999-01-13,1909011
Bronze Medal,3,PANG Cholmi,DPR Korea,PRK,DPR Korea,Boxing,Women's 54kg,1994-08-26,1980125
Bronze Medal,3,IM Aeji,Korea,KOR,Korea,Boxing,Women's 54kg,1999-05-11,1891890
Gold Medal,1,FAULKNER Kristen,United States,USA,United States,Cycling Road,Women's Road Race,1992-12-18,1955081
Silver Medal,2,VOS Marianne,Netherlands,NED,Netherlands,Cycling Road,Women's Road Race,1987-05-13,1969165
Bronze Medal,3,KOPECKY Lotte,Belgium,BEL,Belgium,Cycling Road,Women's Road Race,1995-11-10,1903120
Gold Medal,1,von BREDOW-WERNDL Jessica,Germany,GER,Germany,Equestrian,Dressage Individual,1986-02-16,1914905
Silver Medal,2,WERTH Isabell,Germany,GER,Germany,Equestrian,Dressage Individual,1969-07-21,1914909
Bronze Medal,3,FRY Charlotte,Great Britain,GBR,Great Britain,Equestrian,Dressage Individual,1996-02-11,1970905
Gold Medal,1,SCHEFFLER Scottie,United States,USA,United States,Golf,Men's Individual Stroke Play,1996-06-21,1951724
Silver Medal,2,FLEETWOOD Tommy,Great Britain,GBR,Great Britain,Golf,Men's Individual Stroke Play,1991-01-19,1923629
Bronze Medal,3,MATSUYAMA Hideki,Japan,JPN,Japan,Golf,Men's Individual Stroke Play,1992-02-25,1961406
Gold Medal,1,CROVETTO CHADID Francisca,Chile,CHI,Chile,Shooting,Skeet Women,1990-04-27,1937878
Silver Medal,2,RUTTER Amber Jo,Great Britain,GBR,Great Britain,Shooting,Skeet Women,1997-08-21,1977402
Bronze Medal,3,SMITH Austen Jewell,United States,USA,United States,Shooting,Skeet Women,2001-07-23,1944397
Gold Medal,1,FINKE Bobby,United States,USA,United States,Swimming,Men's 1500m Freestyle,1999-11-06,1935902
Silver Medal,2,PALTRINIERI Gregorio,Italy,ITA,Italy,Swimming,Men's 1500m Freestyle,1994-09-05,1925630
Bronze Medal,3,WIFFEN Daniel,Ireland,IRL,Ireland,Swimming,Men's 1500m Freestyle,2001-07-14,1539969
Gold Medal,1,SJOESTROEM Sarah,Sweden,SWE,Sweden,Swimming,Women's 50m Freestyle,1993-08-17,1572557
Silver Medal,2,HARRIS Meg,Australia,AUS,Australia,Swimming,Women's 50m Freestyle,2002-03-07,1946212
Bronze Medal,3,ZHANG Yufei,China,CHN,China,Swimming,Women's 50m Freestyle,1998-04-19,1945125
Gold Medal,1,FAN Zhendong,China,CHN,China,Table Tennis,Men's Singles,1997-01-22,1902295
Silver Medal,2,MOREGARD Truls,Sweden,SWE,Sweden,Table Tennis,Men's Singles,2002-02-16,1563390
Bronze Medal,3,LEBRUN Felix,France,FRA,France,Table Tennis,Men's Singles,2006-09-12,1889177
Gold Medal,1,DJOKOVIC Novak,Serbia,SRB,Serbia,Tennis,Men's Singles,1987-05-22,1956398
Silver Medal,2,ALCARAZ Carlos,Spain,ESP,Spain,Tennis,Men's Singles,2003-05-05,1563682
Gold Medal,1,OKA Shinnosuke,Japan,JPN,Japan,Artistic Gymnastics,Men's Horizontal Bar,2003-10-31,1919480
Silver Medal,2,BARAJAS Angel,Colombia,COL,Colombia,Artistic Gymnastics,Men's Horizontal Bar,2006-08-12,1935685
Bronze Medal,3,ZHANG Boheng,China,CHN,China,Artistic Gymnastics,Men's Horizontal Bar,2000-03-04,1918864
Bronze Medal,3,TANG Chia-Hung,Chinese Taipei,TPE,Chinese Taipei,Artistic Gymnastics,Men's Horizontal Bar,1996-09-23,1878037
Gold Medal,1,ZOU Jingyuan,China,CHN,China,Artistic Gymnastics,Men's Parallel Bars,1998-01-03,1918865
Silver Medal,2,KOVTUN Illia,Ukraine,UKR,Ukraine,Artistic Gymnastics,Men's Parallel Bars,2003-08-10,1897555
Bronze Medal,3,OKA Shinnosuke,Japan,JPN,Japan,Artistic Gymnastics,Men's Parallel Bars,2003-10-31,1919480
Gold Medal,1,D'AMATO Alice,Italy,ITA,Italy,Artistic Gymnastics,Women's Balance Beam,2003-02-07,1551061
Silver Medal,2,ZHOU Yaqin,China,CHN,China,Artistic Gymnastics,Women's Balance Beam,2005-11-12,1918881
Bronze Medal,3,ESPOSITO Manila,Italy,ITA,Italy,Artistic Gymnastics,Women's Balance Beam,2006-11-02,1560762
Gold Medal,1,ANDRADE Rebeca,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Floor Exercise,1999-05-08,1953634
Silver Medal,2,BILES Simone,United States,USA,United States,Artistic Gymnastics,Women's Floor Exercise,1997-03-14,1959861
Bronze Medal,3,BARBOSU Ana,Romania,ROU,Romania,Artistic Gymnastics,Women's Floor Exercise,2006-07-26,1550170
Gold Medal,1,DUPLANTIS Armand,Sweden,SWE,Sweden,Athletics,Men's Pole Vault,1999-11-10,1569203
Silver Medal,2,KENDRICKS Sam,United States,USA,United States,Athletics,Men's Pole Vault,1992-09-07,1960178
Bronze Medal,3,KARALIS Emmanouil,Greece,GRE,Greece,Athletics,Men's Pole Vault,1999-10-20,1961218
Gold Medal,1,CHEBET Beatrice,Kenya,KEN,Kenya,Athletics,Women's 5000m,2000-03-05,1910560
Silver Medal,2,KIPYEGON Faith,Kenya,KEN,Kenya,Athletics,Women's 5000m,1994-01-10,1910451
Bronze Medal,3,HASSAN Sifan,Netherlands,NED,Netherlands,Athletics,Women's 5000m,1993-01-01,1972105
Gold Medal,1,HODGKINSON Keely,Great Britain,GBR,Great Britain,Athletics,Women's 800m,2002-03-03,1924429
Silver Medal,2,DUGUMA Tsige,Ethiopia,ETH,Ethiopia,Athletics,Women's 800m,2001-02-23,1536498
Bronze Medal,3,MORAA Mary,Kenya,KEN,Kenya,Athletics,Women's 800m,2000-06-15,1928047
Gold Medal,1,ALLMAN Valarie,United States,USA,United States,Athletics,Women's Discus Throw,1995-02-23,1960721
Silver Medal,2,FENG Bin,China,CHN,China,Athletics,Women's Discus Throw,1994-04-03,1919067
Bronze Medal,3,ELKASEVIC Sandra,Croatia,CRO,Croatia,Athletics,Women's Discus Throw,1990-06-21,1922205
Gold Medal,1,AXELSEN Viktor,Denmark,DEN,Denmark,Badminton,Men's Singles,1994-01-04,1888993
Silver Medal,2,VITIDSARN Kunlavut,Thailand,THA,Thailand,Badminton,Men's Singles,2001-05-11,1926294
Bronze Medal,3,LEE Zii Jia,Malaysia,MAS,Malaysia,Badminton,Men's Singles,1998-03-29,1566617
Gold Medal,1,AN Se Young,Korea,KOR,Korea,Badminton,Women's Singles,2002-02-05,1891498
Silver Medal,2,HE Bing Jiao,China,CHN,China,Badminton,Women's Singles,1997-03-21,1913436
Gold Medal,1,BUTCHER Finn,New Zealand,NZL,New Zealand,Canoe Slalom,Men's Kayak Cross,1995-03-17,1945386
Silver Medal,2,CLARKE Joseph,Great Britain,GBR,Great Britain,Canoe Slalom,Men's Kayak Cross,1992-11-03,1896032
Bronze Medal,3,HEGGE Noah,Germany,GER,Germany,Canoe Slalom,Men's Kayak Cross,1999-03-15,1913780
Gold Medal,1,FOX Noemie,Australia,AUS,Australia,Canoe Slalom,Women's Kayak Cross,1997-03-19,1940209
Silver Medal,2,HUG Angele,France,FRA,France,Canoe Slalom,Women's Kayak Cross,2000-07-30,1880483
Bronze Medal,3,WOODS Kimberley,Great Britain,GBR,Great Britain,Canoe Slalom,Women's Kayak Cross,1995-09-08,1896045
Gold Medal,1,LI Yuehong,China,CHN,China,Shooting,25m Rapid Fire Pistol Men,1989-08-28,1913913
Silver Medal,2,CHO Yeongjae,Korea,KOR,Korea,Shooting,25m Rapid Fire Pistol Men,1999-01-15,1893852
Bronze Medal,3,WANG Xinjie,China,CHN,China,Shooting,25m Rapid Fire Pistol Men,1996-10-24,1913919
Gold Medal,1,VAAST Kauli,France,FRA,France,Surfing,Men,2002-02-26,1567361
Silver Medal,2,ROBINSON Jack,Australia,AUS,Australia,Surfing,Men,1997-12-27,1946129
Bronze Medal,3,MEDINA Gabriel,Brazil,BRA,Brazil,Surfing,Men,1993-12-22,1955778
Gold Medal,1,MARKS Caroline,United States,USA,United States,Surfing,Women,2002-02-14,1943206
Silver Medal,2,WESTON-WEBB Tatiana,Brazil,BRA,Brazil,Surfing,Women,1996-05-09,1955783
Bronze Medal,3,DEFAY Johanne,France,FRA,France,Surfing,Women,1993-11-19,1567359
Gold Medal,1,HOCKER Cole,United States,USA,United States,Athletics,Men's 1500m,2001-06-06,1960933
Silver Medal,2,KERR Josh,Great Britain,GBR,Great Britain,Athletics,Men's 1500m,1997-10-08,1924440
Bronze Medal,3,NUGUSE Yared,United States,USA,United States,Athletics,Men's 1500m,1999-06-01,1965327
Gold Medal,1,TENTOGLOU Miltiadis,Greece,GRE,Greece,Athletics,Men's Long Jump,1998-03-18,1961246
Silver Medal,2,PINNOCK Wayne,Jamaica,JAM,Jamaica,Athletics,Men's Long Jump,2000-10-24,1938899
Bronze Medal,3,FURLANI Mattia,Italy,ITA,Italy,Athletics,Men's Long Jump,2005-02-07,1552378
Gold Medal,1,THOMAS Gabrielle,United States,USA,United States,Athletics,Women's 200m,1996-12-07,1965868
Silver Medal,2,ALFRED Julien,Saint Lucia,LCA,Saint Lucia,Athletics,Women's 200m,2001-06-10,1537325
Bronze Medal,3,BROWN Brittany,United States,USA,United States,Athletics,Women's 200m,1995-04-18,1960588
Gold Medal,1,YAVI Winfred,Bahrain,BRN,Bahrain,Athletics,Women's 3000m Steeplechase,1999-12-31,1926102
Silver Medal,2,CHEMUTAI Peruth,Uganda,UGA,Uganda,Athletics,Women's 3000m Steeplechase,1999-07-10,1971686
Bronze Medal,3,CHEROTICH Faith,Kenya,KEN,Kenya,Athletics,Women's 3000m Steeplechase,2004-07-13,1910453
Gold Medal,1,ROGERS Camryn,Canada,CAN,Canada,Athletics,Women's Hammer Throw,1999-06-07,1974290
Silver Medal,2,ECHIKUNWOKE Annette Nneka,United States,USA,United States,Athletics,Women's Hammer Throw,1996-07-29,1960899
Bronze Medal,3,ZHAO Jie,China,CHN,China,Athletics,Women's Hammer Throw,2002-10-13,1919077
Bronze Medal,3,JONES Omari,United States,USA,United States,Boxing,Men's 71kg,2002-11-07,1955645
Bronze Medal,3,RICHARDSON Lewis,Great Britain,GBR,Great Britain,Boxing,Men's 71kg,1997-06-04,1912009
Bronze Medal,3,KYZAIBAY Nazym,Kazakhstan,KAZ,Kazakhstan,Boxing,Women's 50kg,1993-09-14,1931331
Bronze Medal,3,VILLEGAS Aira,Philippines,PHI,Philippines,Boxing,Women's 50kg,1995-08-01,1979870
Gold Medal,1,HARRINGTON Kellie,Ireland,IRL,Ireland,Boxing,Women's 60kg,1989-12-11,1555098
Silver Medal,2,YANG Wenlu,China,CHN,China,Boxing,Women's 60kg,1991-01-13,1926828
Bronze Medal,3,SUWANNAPHENG Janjaem,Thailand,THA,Thailand,Boxing,Women's 66kg,2000-09-25,1898283
Bronze Medal,3,CHEN Nien Chin,Chinese Taipei,TPE,Chinese Taipei,Boxing,Women's 66kg,1997-05-10,1887975
Gold Medal,1,QUAN Hongchan,China,CHN,China,Diving,Women's 10m Platform,2007-03-28,1901545
Silver Medal,2,CHEN Yuxi,China,CHN,China,Diving,Women's 10m Platform,2005-09-11,1901544
Bronze Medal,3,KIM Mi Rae,DPR Korea,PRK,DPR Korea,Diving,Women's 10m Platform,2001-04-07,1980115
Gold Medal,1,KUKUK Christian,Germany,GER,Germany,Equestrian,Jumping Individual,1990-03-04,1914912
Silver Medal,2,GUERDAT Steve,Switzerland,SUI,Switzerland,Equestrian,Jumping Individual,1982-06-10,1976553
Bronze Medal,3,van der VLEUTEN Maikel,Netherlands,NED,Netherlands,Equestrian,Jumping Individual,1988-02-10,1976879
Gold Medal,1,TREW Arisa,Australia,AUS,Australia,Skateboarding,Women's Park,2010-05-12,1946064
Silver Medal,2,HIRAKI Cocona,Japan,JPN,Japan,Skateboarding,Women's Park,2008-08-26,1902075
Bronze Medal,3,BROWN Sky,Great Britain,GBR,Great Britain,Skateboarding,Women's Park,2008-07-07,1544123
Gold Medal,1,LOPEZ NUNEZ Mijain,Cuba,CUB,Cuba,Wrestling,Men's Greco-Roman 130kg,1982-08-20,1571506
Silver Medal,2,ACOSTA FERNANDEZ Yasmani,Chile,CHI,Chile,Wrestling,Men's Greco-Roman 130kg,1988-07-16,1935199
Bronze Medal,3,MIRZAZADEH Amin,IR Iran,IRI,IR Iran,Wrestling,Men's Greco-Roman 130kg,1998-01-08,1544882
Bronze Medal,3,MENG Lingzhe,China,CHN,China,Wrestling,Men's Greco-Roman 130kg,1998-04-16,1919983
Gold Medal,1,FUMITA Kenichiro,Japan,JPN,Japan,Wrestling,Men's Greco-Roman 60kg,1995-12-18,1939713
Silver Medal,2,CAO Liguo,China,CHN,China,Wrestling,Men's Greco-Roman 60kg,1998-10-04,1919973
Bronze Medal,3,SHARSHENBEKOV Zholaman,Kyrgyzstan,KGZ,Kyrgyzstan,Wrestling,Men's Greco-Roman 60kg,1999-09-29,1566631
Bronze Medal,3,RI Se Ung,DPR Korea,PRK,DPR Korea,Wrestling,Men's Greco-Roman 60kg,1998-12-22,1980153
Gold Medal,1,ELOR Amit,United States,USA,United States,Wrestling,Women's Freestyle 68kg,2004-01-01,1955304
Silver Medal,2,ZHUMANAZAROVA Meerim,Kyrgyzstan,KGZ,Kyrgyzstan,Wrestling,Women's Freestyle 68kg,1999-11-09,1568241
Bronze Medal,3,CAVUSOGLU TOSUN Buse,Türkiye,TUR,Türkiye,Wrestling,Women's Freestyle 68kg,1995-12-05,1570415
Bronze Medal,3,OZAKI Nonoka,Japan,JPN,Japan,Wrestling,Women's Freestyle 68kg,2003-03-23,1939709
Gold Medal,1,EL BAKKALI Soufiane,Morocco,MAR,Morocco,Athletics,Men's 3000m Steeplechase,1996-01-07,1555372
Silver Medal,2,ROOKS Kenneth,United States,USA,United States,Athletics,Men's 3000m Steeplechase,1999-10-21,1965896
Bronze Medal,3,KIBIWOT Abraham,Kenya,KEN,Kenya,Athletics,Men's 3000m Steeplechase,1996-04-06,1910445
Gold Medal,1,HALL Quincy,United States,USA,United States,Athletics,Men's 400m,1998-07-31,1960177
Silver Medal,2,HUDSON-SMITH Matthew,Great Britain,GBR,Great Britain,Athletics,Men's 400m,1994-10-26,1924430
Bronze Medal,3,SAMUKONGA Muzala,Zambia,ZAM,Zambia,Athletics,Men's 400m,2002-12-09,1937531
Gold Medal,1,STONA Roje,Jamaica,JAM,Jamaica,Athletics,Men's Discus Throw,1999-02-26,1912322
